title,term,tf-idf
수렵야화 야생동물들의 머리싸움 ②1,수컷,0.4151917598710667
천연 고급차 ‘티업(Tea-Up)’ 왓슨스에 입점1,티업,0.4145903471010874
‘식품안전의 날’ 캠페인1,경기일보,0.4114510557890668
오늘의 인사 - 2016년 4월 25일1,이현규,0.4082026363123624
인류의 미래식량?…`스피룰리나` 뭐길래1,스피룰리나,0.4075596925698329
참치? 기름치!…6월부터 식품원료 사용 전면금지1,기름치,0.40472894976458973
“밀가루·설탕 즐기면 ‘불량채식’이죠”1,채식,0.4041551422642593
신안군 위생 젓새우 용기 보급1,젓새우,0.4040710843428407
"포항 경제, 과메기 덕분에 '신바람'1",과메기,0.4038837510909877
청원 식품안전의 날 기념행사 사진(17면)1,기념행사,0.4032171791180843
"WHO 엠바렉 메르스 전문가 ""한국 메르스 3차감염 걱정할 필요 없다""2",엠바렉,0.40291684212986406
"WHO 엠바렉 메르스 전문가 ""한국 메르스 3차감염 걱정할 필요 없다""1",엠바렉,0.40291684212986406
불량식품 없는 사회 만들기1,기정떡,0.4026713366970039
[인사]식품의약품안전처5,이원식,0.40240869533845475
식약처 케토코나졸 함유 항진균제 카스졸정 등 25개사 제품 판매 중지1,케토코나졸,0.40140784815368447
"[피플앤피플] ""술안주 '골뱅이'를 메인 요리로""…강규범 두웰 에프에스 대표이사1",골뱅이,0.40078847640431337
"공정위 ""지난해 식품 쪽 리콜 가장 많아""1",리콜,0.4003028732703234
고성 청정 자란만 가리비 맛보세요1,가리비,0.3976365379479557
영광 지내들 찰보리쌀 명품 브랜드로 ‘쑥쑥’1,지내,0.39647106446985014
"샤프, 삼성에 냉장고·세탁기 OEM 공급 검토1",샤프,0.39607344336056105
