,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.609375,0.8545454545454545,0.9565217391304348,0.7878787878787878,0.8068140645586297,0.8193191549886213
recall,0.8297872340425532,0.7580645161290323,0.7857142857142857,0.7878787878787878,0.7911886786286236,0.7878787878787878
f1-score,0.7027027027027027,0.8034188034188033,0.8627450980392156,0.7878787878787878,0.7896222013869072,0.794864959570842
support,47.0,62.0,56.0,0.7878787878787878,165.0,165.0
