,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.6229508196721312,0.875,0.9166666666666666,0.793939393939394,0.8048724954462659,0.8173455870177181
recall,0.8085106382978723,0.7903225806451613,0.7857142857142857,0.793939393939394,0.7948491682191063,0.793939393939394
f1-score,0.7037037037037038,0.8305084745762712,0.8461538461538461,0.793939393939394,0.7934553414779404,0.7996982720146564
support,47.0,62.0,56.0,0.793939393939394,165.0,165.0
