,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.41025641025641024,0.7073170731707317,0.8695652173913043,0.6121212121212121,0.6623795669394821,0.6777658302578768
recall,0.6808510638297872,0.46774193548387094,0.7142857142857143,0.6121212121212121,0.6209595711997907,0.6121212121212121
f1-score,0.512,0.5631067961165048,0.7843137254901961,0.6121212121212121,0.619806840535567,0.623625393858632
support,47.0,62.0,56.0,0.6121212121212121,165.0,165.0
