,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.723404255319149,0.8833333333333333,0.8448275862068966,0.8242424242424242,0.817188391619793,0.8247091605712296
recall,0.723404255319149,0.8548387096774194,0.875,0.8242424242424242,0.8177476549988562,0.8242424242424242
f1-score,0.723404255319149,0.8688524590163934,0.8596491228070176,0.8242424242424242,0.8173019457141866,0.8242982020376325
support,47.0,62.0,56.0,0.8242424242424242,165.0,165.0
