,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.29605263157894735,1.0,0.8333333333333334,0.3393939393939394,0.709795321637427,0.7429160021265284
recall,0.9574468085106383,0.016129032258064516,0.17857142857142858,0.3393939393939394,0.38404908978004376,0.3393939393939394
f1-score,0.4522613065326633,0.031746031746031744,0.29411764705882354,0.3393939393939394,0.25937499511250617,0.2405765067308077
support,47.0,62.0,56.0,0.3393939393939394,165.0,165.0
