,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.4095238095238095,0.8181818181818182,0.868421052631579,0.5696969696969697,0.6987088934457356,0.7188270952864254
recall,0.9148936170212766,0.2903225806451613,0.5892857142857143,0.5696969696969697,0.5981673039840508,0.5696969696969697
f1-score,0.5657894736842105,0.4285714285714286,0.7021276595744681,0.5696969696969697,0.5654961872767025,0.5605011077015557
support,47.0,62.0,56.0,0.5696969696969697,165.0,165.0
