,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.4077669902912621,0.9583333333333334,0.8947368421052632,0.6,0.7536123885766196,0.7799210810197014
recall,0.8936170212765957,0.3709677419354839,0.6071428571428571,0.6,0.6239092067849789,0.6
f1-score,0.5599999999999999,0.5348837209302326,0.7234042553191489,0.6,0.6060959920831271,0.6060207817911925
support,47.0,62.0,56.0,0.6,165.0,165.0
