,economy,IT_science,politics,accuracy,macro avg,weighted avg
precision,0.5573770491803278,0.7796610169491526,0.9333333333333333,0.7393939393939394,0.7567904664876046,0.7684992183575122
recall,0.723404255319149,0.7419354838709677,0.75,0.7393939393939394,0.7384465797300389,0.7393939393939394
f1-score,0.6296296296296297,0.7603305785123968,0.8316831683168316,0.7393939393939394,0.7405477921529527,0.7473172477945683
support,47.0,62.0,56.0,0.7393939393939394,165.0,165.0
