topic number,perplexity,coherence,metric
2,1115.504982015091,0.3373195800930262,c_v
4,1040.4549077157988,0.5217642977833747,c_v
6,956.4672997176032,0.5198003008961677,c_v
8,891.1005186271294,0.5646558821201324,c_v
10,837.1774056701418,0.5441667889058591,c_v
12,800.9132307441004,0.5926351649065812,c_v
14,780.2073673175186,0.5660258846623557,c_v
16,742.9600422203454,0.584846487408504,c_v
18,718.3243573075114,0.5987873590654798,c_v
20,696.1784829081881,0.5577616992592811,c_v
22,682.6563889499621,0.6098375159231101,c_v
24,664.773996311123,0.6129024347911278,c_v
26,638.5608192587555,0.6008995540440082,c_v
28,620.8124982797877,0.6279282926980938,c_v
30,613.7805022663123,0.6270694616933664,c_v
32,607.732763647211,0.6275176155380905,c_v
34,607.1206820264254,0.6448566381107357,c_v
36,566.1052993731264,0.6464956091923847,c_v
38,567.6240727696521,0.6376693330705168,c_v
40,552.3639929919875,0.6473462684452534,c_v
42,543.095664319839,0.672748052222388,c_v
44,535.5464875253031,0.6723395961252127,c_v
46,518.4017961855387,0.6775481274594432,c_v
48,508.1572102870771,0.6831778951610127,c_v
50,508.8067053931897,0.6871894866824151,c_v
52,497.4293998085371,0.7029245035006446,c_v
54,491.85078763628985,0.7024542814051664,c_v
56,488.704272392382,0.7049210189176458,c_v
58,488.74313612696307,0.7038732422836895,c_v
60,480.7411617136431,0.7081816079715889,c_v
62,473.12705763971655,0.7205075349538556,c_v
64,467.92038288264854,0.7072783146053554,c_v
66,463.95678828311924,0.7169745349974346,c_v
68,455.23628632264285,0.7297771229901733,c_v
70,461.1911669098879,0.7240980660489628,c_v
72,455.4116778322161,0.7332317090282838,c_v
74,445.4497118105172,0.732616814165502,c_v
76,443.6697371834862,0.7258276202568883,c_v
78,439.11770962142043,0.7315817556320096,c_v
80,436.5044726548234,0.7391727881506084,c_v
82,433.24997753471854,0.7430358762784701,c_v
84,433.7947481686973,0.7348488217663194,c_v
86,420.90971044511895,0.7515875540500466,c_v
88,419.2141465852203,0.74013923260976,c_v
90,419.8428893020413,0.7517481895287831,c_v
92,416.44873623325486,0.7478884398937226,c_v
94,414.8434122161284,0.7458304677237857,c_v
96,417.3188636109158,0.7542027739807965,c_v
98,408.39985245221004,0.7569759707973931,c_v
100,405.3387797644836,0.7562514592409139,c_v
