,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2015.08
0,2.1415606,2.3820786,0.83916736,1.4532769,1.0308952,0.75037503,0.6198549,1.2647123,2.58949,0.037634373,0.5688727,2.0130095,0.9252136,1.5943229,2.0285416,1.0829358,0.45776367,1.9408809
1,1.1155915,1.0228373,-1.8182812,-0.44056153,-0.33615112,-0.7270727,-1.4608326,0.055402756,2.4245558,0.052673817,0.83977425,0.63653886,-0.2576759,0.0009839535,0.38006043,-0.1436274,0.7733097,-1.7737017
2,1.1218228,1.6861608,0.12932968,0.6228223,0.78381014,0.46910357,-0.29320693,1.3336997,1.478087,2.229097,0.040449858,1.0712588,-0.023115158,1.9546342,-0.40627337,0.65348625,2.0973508,1.410366
3,1.949064,0.76343477,0.77208245,0.47443116,0.63222826,0.82858753,0.46811163,1.0643927,0.8356881,1.7912409,1.5460964,-0.16839194,-0.38560653,-0.49248242,0.2022103,-1.4840577,-1.2043965,1.5519675
4,0.912899,0.38510776,0.38879228,0.33043313,0.5017834,0.9922688,-0.20953059,1.3076918,2.7230654,1.0044804,1.4571036,0.23400187,0.17905855,0.832391,0.64071226,0.021809101,-0.05760026,-0.58102703
5,1.5779756,1.5961868,-0.053599358,-1.1644572,0.39813566,1.4784542,1.5550088,1.3892851,0.63840234,0.9931514,0.7658888,-0.7135457,1.3975319,1.4063764,-1.6334628,-0.6724881,1.5304782,1.0608974
6,1.3137999,0.20286655,1.5100543,1.0134034,1.4115653,-0.33461046,1.3805184,0.15679431,1.0605204,0.887319,-0.28977275,0.68458027,0.8183294,1.4981629,-1.1442134,0.6288391,-0.22620821,-0.23650646
7,1.1764721,2.5282247,-0.013452768,1.9494838,1.4919678,0.9040371,0.1978004,2.4912672,2.3828573,1.0474325,2.478207,1.8527821,0.57891524,2.3384504,1.503076,2.154141,1.8635403,1.0747668
8,0.2697972,0.3607868,1.0670006,-2.5294561,0.7850338,0.21165311,0.20739806,0.28343713,0.35934532,0.38059008,-0.95039403,0.27322662,0.49987113,1.313349,-0.15865266,-1.1571535,2.45274,0.8455754
9,-1.121306,2.5310414,1.0137897,0.01528883,1.4538958,1.0041022,1.0017207,2.099074,2.4105678,0.89063406,1.6826258,1.2469535,1.5613332,2.8982081,-0.053604126,2.234326,1.412338,2.6760938
